Input Word,Tamil Transliteration,Tamil Meaning,English Transliteration,English Meaning
इसे,இஸே,இது,ise,This
आजमाने,ஆஜமாநே,முயற்சிக்க,ājamāne,To try
के,கே,க்கு,ke,Of
"लिए,","லிஏ,","என,","lie,","For,"
नीचे,நீசே,கீழே,nīce,Below
अपनी,அபநீ,சொந்தமானது,apanī,Own
भाषा,பாஷா,மொழி,bhāṣā,Language
और,ஔர,மற்றும்,aura,And
इनपट,இநபட,இடையூறு,inapaṭa,Inpassed
उपकरण,உபகரண,உபகரணங்கள்,upakaraṇa,equipment
चनें,சநேம்,சேன்,caneṃ,Channe
और,ஔர,மற்றும்,aura,And
लिखना,லிகநா,எழுதுங்கள்,likhanā,Write
आरंभ,ஆரம்ப,தொடங்குகிறது,āraṃbha,Starting
"करें,","கரேம்,","செய், செய்","kareṃ,","Do,"
